screen_name,count,type,state,party
auctnr1,54103,rep,MO,r
hispaniccaucus,27298,,,d
chiproytx,22404,rep,TX,r
lacyclaymo1,21319,rep,MO,d
repcloakroom,16333,,,r
housegop,15223,,,r
rokhanna,13188,rep,CA,d
tedlieu,13049,rep,CA,d
senatedems,12715,,,d
brianschatz,12407,sen,HI,d
capac,11994,,,d
housejudiciary,11116,,,
tedcruz,10907,sen,TX,r
jaredhuffman,10355,rep,CA,d
dccc,9902,,,d
chrismurphyct,9260,rep,CT,d
kamalaharris,9131,sen,CA,d
dscc,8641,,,d
castro4congress,8606,rep,TX,d
berniesanders,8602,sen,VT,i
senategop,8581,,,r
demcloakroom,8057,,,d
ewarren,7965,sen,MA,d
waysandmeansgop,7797,,,r
marcorubio,7548,sen,FL,r
mattgaetz,7472,rep,FL,r
davidcicilline,7224,rep,RI,d
nrdems,7122,,,d
amyklobuchar,6887,sen,MN,d
nrcc,6879,,,r
teampelosi,6763,rep,CA,d
ilhanmn,6690,rep,MN,d
corybooker,6605,sen,NJ,d
grace4ny,6540,rep,NY,d
timburchett,6415,rep,TN,r
nrsc,6320,,,r
waysmeanscmte,6222,,,
roslehtinen,6116,rep,FL,r
gopoversight,6017,,,r
dwightevanspa,6010,rep,PA,d
votemarsha,5962,sen,TN,r
grassleypress,5936,sen,IA,r
housedemocrats,5822,,,d
rashidatlaib,5796,rep,MI,d
caucusonclimate,5695,,,
senorrinhatch,5686,sen,UT,r
oversightdems,5563,,,d
lindseygrahamsc,5499,sen,SC,r
energycommerce,5435,,,
pramilajayapal,5391,rep,WA,d
sengillibrand,5375,sen,NY,d
elisestefanik,5370,rep,NY,r
housecommerce,5345,,,
westerncaucus,5295,,,
dsenfloor,5198,,,
usprogressives,5149,,,
timryan,5145,rep,OH,d
aoc,5039,rep,NY,d
carolynbmaloney,5034,rep,NY,d
ayannapressley,5021,rep,MA,d
housebudgetdems,4900,,,d
appropsdems,4879,,,d
ericswalwell,4822,rep,CA,d
houseforeign,4715,,,
rubengallego,4652,rep,AZ,d
natresources,4524,,,
theblackcaucus,4446,,,
bleeforcongress,4413,rep,CA,d
paultonko,4317,rep,NY,d
lgbteqcaucus,4307,,,
senategopfloor,4232,,,r
justinamash,4217,rep,MI,L
jecdems,4206,,,d
vetaffairsdems,4195,,,d
reelectnydia,4107,rep,NY,d
dickdurbin,4079,sen,IL,d
whiphoyer,4024,,,
tulsigabbard,4013,rep,HI,d
seancasten,3991,rep,IL,d
donjbacon,3963,rep,NE,r
edmarkey,3932,sen,MA,d
sethmoulton,3922,rep,MA,d
repbrendanboyle,3880,rep,PA,d
senatorheitkamp,3848,sen,ND,d
homelanddems,3828,,,d
keithellison,3786,rep,MN,d
murraycampaign,3755,sen,WA,d
drpaulgosar,3735,rep,AZ,r
jimmygomezca,3700,rep,CA,d
robinlynnekelly,3677,rep,IL,d
kyrstensinema,3566,sen,AZ,d
cbcpac,3550,,,
freedomcaucus,3522,,,r
betoorourke,3444,rep,TX,d
michaelbennet,3427,sen,CO,d
tinasmithmn,3411,sen,MN,d
repseanduffy,3366,rep,WI,r
jeffmerkley,3228,sen,OR,d
judiciarygop,3207,,,r
markpocan,3201,rep,WI,d
senatorisakson,3119,sen,GA,r
bradleybyrne,3078,rep,AL,r
speakerryan,3041,rep,WI,r
flores4congress,3032,rep,TX,r
housesmallbiz,3015,,,
energydems,2954,,,d
haleylive,2948,rep,MI,d
jecrepublicans,2938,,,r
repmarkmeadows,2930,rep,NC,r
rogermarshallmd,2870,rep,KS,r
housejuddems,2866,,,d
senjudiciary,2809,,,
housescience,2792,,,
juliabrownley26,2784,rep,CA,d
joekennedy,2763,rep,MA,d
sherrodbrown,2727,sen,OH,d
